title,date,end,location,map,notes
SynthFest UK 2026,2026-10-24 10:30,2026-10-24 18:00,"The Octagon Centre, Clarkson Street, Sheffield S10 2TQ",,"The UK's biggest gathering of synthesizers, run by *Sound On Sound* with Sensoria. Over 60 exhibitors, from boutique Eurorack builders to the major keyboard brands, plus free seminars and demos with a ticket.

[SynthFest UK](https://www.synthfest.co.uk/)"
SUPERBOOTH27,2027-05-06,2027-05-08,"FEZ-Berlin, Straße zum FEZ 2, 12459 Berlin",,"Three days of electronic musical instruments at FEZ-Berlin — the biggest gathering for modular synthesizers, with talks, demos, concerts and DJ sets. Tickets go on sale in December.

Nearest station is S-Bhf. Wuhlheide, then a 15–20 minute walk through the park.

[superbooth.com](https://www.superbooth.com/en/)"
